Glimmerpoint Stag:W:75
Temporal Mastery:U:24
Exquisite Blood:B:14
Druids' Repository:G:22
Cathedral Sanctifier:W:29
Diregraf Escort:G:26
Dual Casting:R:31
Peel from Reality:U:63
Hound of Griselbrand:R:86
Desolate Lighthouse:NA:65
Vessel of Endless Rest:NA:60
Soulcage Fiend:B:57
Havengul Vampire:R:70
Dark Impostor:B:90
Ulvenwald Tracker:G:84
Silverblade Paladin:W:86
Banishing Stroke:W:77
Yew Spirit:G:62
Primal Surge:G:6
Nephalia Smuggler:U:70
Herald of War:W:88
Fleeting Distraction:U:32
Marrow Bats:B:56
Gloom Surgeon:B:73
Demonlord of Ashmouth:B:79
Gang of Devils:R:69
Rain of Thorns:G:27
Slayers' Stronghold:NA:56
Undead Executioner:B:64
Voice of the Provinces:W:47
Seraph Sanctuary:NA:14
Scroll of Griselbrand:NA:11
Blood Artist:B:55
Soul of the Harvest:G:87
Killing Wave:B:28
Rush of Blood:R:25
Righteous Blow:W:72
Necrobite:B:57
Raging Poltergeist:R:16
Alchemist's Refuge:NA:31
Bloodflow Connoisseur:B:47
Vanguard's Shield:NA:33
Harvester of Souls:B:91
Heirs of Stromkirk:R:52
Dangerous Wager:R:44
Tandem Lookout:U:73
Vorstclaw:G:55
Archangel:W:78
Death Wind:B:80
Bruna, Light of Alabaster:UW:85
Flowering Lumberknot:G:24
Galvanic Alchemist:U:48
Auramancer:W:44
Elite Vanguard:W:53
Grave Titan:B:96
Mana Leak:U:61
Primeval Titan:G:89
Sun Titan:W:93
Fling:R:57
Sacred Wolf:G:53
Zombie Infestation:B:17
Isolated Chapel:NA:40
Clifftop Retreat:NA:40
Full Moon's Rise:G:39
Lost in the Mist:U:49
Woodland Cemetery:NA:40
Lantern Spirit:U:67
Dissipate:U:60
Darkthicket Wolf:G:64
Sulfur Falls:NA:40
Hinterland Harbor:NA:40
Mighty Leap:W:60
Autumn's Veil:G:34
Sorin's Thirst:B:69
Warpath Ghoul:B:56
Goblin Arsonist:R:44
Tragic Slip:B:64
Highborn Ghoul:B:63
Chill of Foreboding:U:35
Shriekgeist:U:28
Dawntreader Elk:G:72
Lambholt Elder:G:48
Lost in the Woods:G:35
Grasp of Phantoms:U:74
Walking Corpse:B:51
Burning Vengeance:R:34
Avacyn's Pilgrim:G:64
Dream Twist:U:38
Voiceless Spirit:W:70
Shimmering Grotto:NA:37
Intangible Virtue:W:46
Griptide:U:79
Chosen of Markov:B:57
Wrack with Madness:R:82
Kessig Recluse:G:73
Geralf's Messenger:B:49
Hunger of the Howlpack:G:54
Disentomb:B:42
Brink of Disaster:B:39
Consume Spirit:B:69
Kite Shield:NA:40
Pentavus:NA:84
Blood Seeker:B:48
Sengir Vampire:B:85
Ponder:U:57
Heartless Summoning:B:10
Disciple of Griselbrand:B:38
Corpse Lunge:B:55
Runechanter's Pike:NA:82
Mentor of the Meek:W:90
Hanweir Watchkeep:R:66
Undead Alchemist:U:82
Armored Skaab:U:69
Spidery Grasp:G:49
Archangel's Light:W:11
Jar of Eyeballs:NA:31
Torch Fiend:R:47
Thraben Heretic:W:56
Volcanic Dragon:R:86
Flameblast Dragon:R:92
Loyal Cathar:W:54
Russet Wolves:R:57
Ulvenwald Bear:G:56
Blood Feud:R:63
Executioner's Hood:NA:30
Elbrus, the Binding Blade:NA:8
Niblis of the Urn:W:70
Reap the Seagraf:B:48
Headless Skaab:U:54
Heavy Mattock:NA:40
Somberwald Dryad:G:49
Drogskol Captain:UW:89
Brindle Boar:G:43
Stampeding Rhino:G:70
Vastwood Gorger:G:52
Archon of Justice:W:90
Shock:R:71
Goblin Tunneler:R:41
Time Reversal:U:24
Alluring Siren:U:63
Sever the Bloodline:B:89
Cackling Counterpart:U:82
Divine Reckoning:W:75
Past in Flames:R:23
Creeping Renaissance:G:81
Screeching Skaab:U:66
Elgaud Inquisitor:W:53
Garruk Relentless:G:94
Ice Cage:U:49
Ray of Revelation:W:28
Haunted Fengraf:NA:28
Wild Hunger:G:67
Niblis of the Mist:W:66
Saving Grasp:U:48
Faithless Looting:R:62
Gruesome Deformity:B:15
Night Terrors:B:45
Elite Inquisitor:W:77
Sturmgeist:U:90
Maw of the Mire:B:24
Falkenrath Marauders:R:88
Tracker's Instincts:G:54
Wolfhunter's Quiver:NA:62
Hinterland Hermit:R:55
Nephalia Seakite:U:67
Warden of the Wall:NA:59
Mikaeus, the Lunarch:W:94
Olivia Voldaren:BR:95
Geist of Saint Traft:UW:82
Grimgrin, Corpse-Born:BU:95
Elder of Laurels:G:81
Devil's Play:R:90
Gnaw to the Bone:G:24
Tree of Redemption:G:86
Rebuke:W:73
Vampiric Fury:R:29
Stony Silence:W:19
Entreat the Angels:W:92
Geistflame:R:67
Markov Blademaster:R:75
Seance:W:5
Rolling Temblor:R:76
Parallel Lives:G:20
Back from the Brink:U:86
Moldgraf Monstrosity:G:84
Serpent's Gift:G:32
Boundless Realms:G:20
Jace's Phantasm:U:34
Augur of Bolas:U:44
Primal Huntbeast:G:52
Yeva, Nature's Herald:G:88
Sentinel Spider:G:78
Chandra's Fury:R:42
Searing Spear:R:80
Thragtusk:G:89
Roaring Primadox:G:60
Captain's Call:W:45
Smelt:R:21
Timberpack Wolf:G:61
Ajani, Caller of the Pride:W:93
Bond Beetle:G:32
Mwonvuli Beast Tracker:G:55
Spiked Baloth:G:48
Elderscale Wurm:G:91
Rummaging Goblin:R:62
Mogg Flunkies:R:46
Arctic Aven:U:73
Fungal Sprouting:G:43
Flinthoof Boar:G:71
Staff of Nin:NA:80
Predatory Rampage:G:88
Mindclaw Shaman:R:44
Gilded Lotus:NA:41
Arbor Elf:G:66
Kessig Cagebreakers:G:92
Dungeon Geists:U:99
Havengul Runebinder:U:75
Moonveil Dragon:R:93
Mikaeus, the Unhallowed:B:87
Deranged Outcast:G:79
Ranger's Guile:G:36
Heretic's Punishment:R:63
Paraselene:W:21
Manor Skeleton:B:37
Erdwal Ripper:R:46
Pyreheart Wolf:R:60
Sorin, Lord of Innistrad:BW:99
Wolfbitten Captive:G:74
Mondronen Shaman:R:75
Underworld Connections:B:77
Golgari Decoy:G:62
Dreg Mangler:BG:77
Mercurial Chemister:RU:86
Supreme Verdict:UW:88
Izzet Keyrune:NA:53
Lotleth Troll:BG:75
Azorius Keyrune:NA:58
Hussar Patrol:UW:53
Vassal Soul:UW:59
Counterflux:RU:35
Catacomb Slug:B:34
Izzet Charm:RU:65
Rootborn Defenses:W:40
Rakdos, Lord of Riots:BR:89
Corpsejack Menace:BG:79
Sphinx's Revelation:UW:78
Horncaller's Chant:G:35
Ultimate Price:B:79
Wayfaring Temple:GW:72
Hover Barrier:U:65
Dramatic Rescue:UW:44
Electrickery:R:57
Righteous Authority:UW:68
Goblin Electromancer:RU:41
Spawn of Rix Maadi:BR:50
Transguild Promenade:NA:40
Thoughtflare:RU:74
Epic Experiment:RU:20
Eyes in the Skies:W:56
Sunspire Griffin:W:65
Skymark Roc:UW:79
Axebane Guardian:G:63
Concordia Pegasus:W:44
Vandalblast:R:24
Abrupt Decay:BG:78
Teleportal:RU:60
Common Bond:GW:57
Dispel:U:14
Palisade Giant:W:86
Pyroconvergence:R:31
Necropolis Regent:B:89
Armory Guard:W:36
Destroy the Evidence:B:20
Rakdos's Return:BR:84
Worldspine Wurm:G:18
Sewer Shambler:B:39
Auger Spree:BR:80
Pithing Needle:NA:16
Blustersquall:U:52
Rakdos Ringleader:BR:30
Slitherhead:BG:20
Armada Wurm:GW:92
Fencing Ace:W:46
Bazaar Krovod:W:34
Rakdos Charm:BR:29
Rakdos Shred-Freak:BR:42
Mana Bloom:G:35
Sphinx of the Chimes:U:87
Rakdos Cackler:BR:69
Martial Law:W:84
Racecourse Fury:R:25
Archweaver:G:43
Archon of the Triumvirate:UW:83
Conjured Currency:U:30
Sluiceway Scorpion:BG:58
Towering Indrik:G:63
Search Warrant:UW:18
Trained Caracal:W:17
Rakdos Keyrune:NA:56
Civic Saber:NA:41
Skull Rend:BR:34
Ash Zealot:R:60
Pack Rat:B:87
Niv-Mizzet, Dracogenius:RU:94
Angel of Serenity:W:93
Selesnya Keyrune:NA:58
Mizzium Mortars:R:91
Jarad's Orders:BG:52
Codex Shredder:NA:25
Mizzium Skin:U:20
Izzet Staticaster:RU:79
Coursers' Accord:GW:42
Dead Reveler:B:58
Trostani, Selesnya's Voice:GW:82
Gobbling Ooze:G:47
Golgari Keyrune:NA:57
Knightly Valor:W:36
Havoc Festival:BR:19
Tenement Crasher:R:49
Selesnya Charm:GW:70
Jace, Architect of Thought:U:90
Centaur Healer:GW:71
Hypersonic Dragon:RU:85
Seller of Songbirds:W:48
Overgrown Tomb:NA:54
Temple Garden:NA:54
Steam Vents:NA:54
Blood Crypt:NA:54
Hallowed Fountain:NA:54
Rancor:G:84
Garruk's Packleader:G:76
Ring of Evos Isle:NA:42
Slumbering Dragon:R:41
Disciple of Bolas:B:63
Wild Guess:R:50
Ring of Thune:NA:40
Craterize:R:22
Thundermaw Hellkite:R:92
Talrand, Sky Summoner:U:88
Vile Rebirth:B:34
Switcheroo:U:78
Trading Post:NA:43
Krenko, Mob Boss:R:85
Reckless Brute:R:49
Crippling Blight:B:50
Prized Elephant:W:64
Mark of the Vampire:B:47
Xathrid Gorgon:B:88
Hellion Crucible:NA:80
Crusader of Odric:W:68
Tricks of the Trade:U:37
Public Execution:B:82
Crimson Muckwader:R:55
Shattered Perception:R:20
Watercourser:U:50
Talrand's Invocation:U:84
Sleep:U:72
Vedalken Entrancer:U:51
Scroll Thief:U:61
Essence of the Wild:G:92
Memory's Journey:U:35
Dragon Hatchling:R:47
Firewing Phoenix:R:79
Volcanic Strength:R:39
Canyon Minotaur:R:46
Fire Elemental:R:54
Krenko's Command:R:52
Flames of the Firebrand:R:81
Harbor Bandit:B:51
Faith's Reward:W:33
Odric, Master Tactician:W:82
Griffin Protector:W:73
Veilborn Ghoul:B:49
Murder:B:83
Nefarox, Overlord of Grixis:B:92
Cathedral of War:NA:65
Ring of Valkas:NA:40
Ring of Xathrid:NA:40
Liliana of the Dark Realms:B:62
War Falcon:W:37
Chronomaton:NA:62
Ring of Kalonia:NA:42
Bloodhunter Bat:B:64
Serra Avatar:W:63
Ajani's Sunstriker:W:62
Captain of the Watch:W:89
Battleflight Eagle:W:37
Erase:W:14
Sublime Archangel:W:94
Duress:B:42
Rise from the Grave:B:69
Sign in Blood:B:62
Giant Scorpion:B:57
Duty-Bound Dead:B:60
Vampire Nighthawk:B:84
Nicol Bolas, Planeswalker:NOUSE:83
Liliana's Shade:B:49
Call of the Conclave:GW:75
Alpha Brawl:R:29
Stormbound Geist:U:67
Increasing Vengeance:R:33
Ghoultree:G:65
Diregraf Captain:BU:76
Briarpack Alpha:G:83
Tower Geist:U:89
Skirsdag Flayer:B:68
Spiteful Shadows:B:2
Zombie Apocalypse:B:40
Strangleroot Geist:G:66
Gravetiller Wurm:G:52
Gallows at Willow Hill:NA:43
Afflicted Deserter:R:51
Stromkirk Captain:BR:75
Farbog Boneflinger:B:81
Mystic Retrieval:U:39
Helvault:NA:58
Evolving Wilds:NA:56
Nearheath Stalker:R:66
Sightless Ghoul:B:29
Gavony Ironwright:W:45
Gather the Townsfolk:W:53
Favor of the Woods:G:1
Village Survivors:G:66
Harrowing Journey:B:56
Deadly Allure:B:37
Vengeful Vampire:B:74
Thraben Doomsayer:W:80
Markov Warlord:R:92
Scorned Villager:G:62
Lingering Souls:W:91
Faith's Shield:W:48
Falkenrath Torturer:B:49
Immerwolf:GR:74
Relentless Skaabs:U:59
Break of Day:W:47
Terminus:W:85
Heckling Fiends:R:52
Burning Oil:R:58
Call to the Kindred:U:15
Scorch the Fields:R:18
Chant of the Skifsang:U:56
Counterlash:U:28
Fires of Undeath:R:80
Increasing Ambition:B:31
Increasing Savagery:G:89
Undying Evil:B:43
Wakedancer:B:54
Fiend of the Shadows:B:91
Thought Scour:U:55
Geralf's Mindcrusher:U:67
Artful Dodge:U:36
Curse of Echoes:U:18
Grim Flowering:G:46
Gruesome Discovery:B:34
Clinging Mists:G:36
Bone to Ash:U:46
Altar of the Lost:NA:14
Falkenrath Aristocrat:BR:94
Moorland Inquisitor:W:52
Vorapede:G:92
Havengul Lich:BU:96
Flayer of the Hatebound:R:86
Death's Caress:B:90
Talons of Falkenrath:R:20
Increasing Confusion:U:55
Feed the Pack:G:52
Bar the Door:W:24
Midnight Guard:W:58
Drogskol Reaver:UW:61
Champion of the Parish:W:61
Black Cat:B:48
Avacyn's Collar:NA:39
Sanctuary Cat:W:40
Sudden Disappearance:W:44
Predator Ooze:G:53
Crushing Vines:G:38
Hollowhenge Beast:G:66
Increasing Devotion:W:91
Young Wolf:G:56
Burden of Guilt:W:60
Curse of Misfortunes:B:9
Huntmaster of the Fells:GR:93
Silverclaw Griffin:W:59
Skillful Lunge:W:48
Sands of Delirium:NA:64
Mutilate:B:87
Cobblebrute:R:29
Thrill-Kill Assassin:B:48
Soul Tithe:W:35
Chorus of Might:G:37
Downsize:U:26
Inaction Injunction:U:40
Brushstrider:G:53
Viashino Racketeer:R:43
Inspiration:U:49
Splatter Thug:R:63
Selesnya Sentry:W:46
Axebane Stag:G:33
Street Spasm:R:73
Golgari Charm:BG:60
Grim Roustabout:B:41
Centaur's Herald:G:67
Savage Surge:G:54
Deviant Glee:B:22
Pursuit of Flight:R:32
Lyev Skyknight:UW:75
Guttersnipe:R:52
Explosive Impact:R:72
Runewing:U:60
Rubbleback Rhino:G:41
Dynacharge:R:33
Stonefare Crocodile:G:45
Batterhorn:R:41
Tower Drake:U:56
Drainpipe Vermin:B:34
Search the City:U:10
Perilous Shadow:B:57
Guild Feud:R:15
Drudge Beetle:G:41
Shrieking Affliction:B:19
Avenging Arrow:W:54
Cryptborn Horror:BR:68
Voidwielder:U:62
Stealer of Secrets:U:44
Ethereal Armor:W:27
Sundering Growth:GW:28
Swift Justice:W:39
Doorkeeper:U:43
Azor's Elocutors:UW:56
Aven Squire:W:69
Servant of Nefarox:B:53
Deadly Recluse:G:57
Arms Dealer:R:76
Glorious Charge:W:28
Archaeomancer:U:47
Attended Knight:W:64
Show of Valor:W:40
Duskmantle Prowler:B:61
Knight of Glory:W:71
Knight of Infamy:B:72
Yeva's Forcemage:G:60
Silvercoat Lion:W:52
Clone:U:80
Mind Sculpt:U:25
Primal Clay:NA:50
Fog Bank:U:72
Vitu-Ghazi Guildmage:GW:79
Daggerdrome Imp:B:36
Rix Maadi Guildmage:BR:80
Tavern Swindler:B:39
Dreadbore:BR:85
Tablet of the Guilds:NA:16
Detention Sphere:UW:84
Soulsworn Spirit:U:57
Volatile Rig:NA:38
Aquus Steed:U:28
Oak Street Innkeeper:G:17
Korozda Guildmage:BG:76
Nivix Guildmage:RU:76
New Prahv Guildmage:UW:78
Dark Revenant:B:55
Syncopate:U:48
Urban Burgeoning:G:8
Ogre Jailbreaker:B:53
Utvara Hellkite:R:67
Slum Reaper:B:50
Phantom General:W:41
Treasured Find:BG:40
Hydrosurge:U:28
Thalia, Guardian of Thraben:W:56
Requiem Angel:W:88
Launch Party:B:47
Wild Beastmaster:G:61
Bloodfray Giant:R:74
Chronic Flooding:U:17
Goblin Rally:R:61
Security Blockade:W:45
Stab Wound:B:64
Precinct Captain:W:61
Death's Presence:G:40
Psychic Spiral:U:22
Azorius Justiciar:W:61
Gore-House Chainwalker:R:43
Korozda Monitor:G:50
Cyclonic Rift:U:86
Minotaur Aggressor:R:39
Annihilating Fire:R:80
Survey the Wreckage:R:22
Vault of the Archangel:NA:69
Grim Backwoods:NA:30
Rakdos Guildgate:NA:55
Chaos Imps:R:86
Paralyzing Grasp:U:47
Growing Ranks:GW:55
Isperia's Skywatch:U:54
Desecration Demon:B:85
Grave Betrayal:B:31
Izzet Guildgate:NA:55
Azorius Charm:UW:62
Carnival Hellsteed:BR:81
Golgari Guildgate:NA:55
Azorius Guildgate:NA:55
Street Sweeper:NA:31
Grove of the Guardian:NA:83
Sphere of Safety:W:18
Deadbridge Goliath:G:83
Azorius Arrester:W:56
Eaten by Spiders:G:49
Amass the Components:U:75
Arcane Melee:U:22
Battle Hymn:R:11
Void Stalker:U:77
Snare the Skies:G:40
Demonic Taskmaster:B:57
Lair Delve:G:42
Bonfire of the Damned:R:93
Selesnya Guildgate:NA:55
Keening Apparition:W:41
Treacherous Pit-Dweller:B:22
Essence Harvest:B:23
Butcher Ghoul:B:45
Infinite Reflection:U:71
Lightning Mauler:R:58
Burn at the Stake:R:86
Mist Raven:U:81
Predator's Gambit:B:31
Divine Verdict:W:57
Wall of Fire:R:48
Phylactery Lich:B:30
Vampire Nocturnus:B:75
Planar Cleansing:W:81
War Priest of Thune:W:57
Ranger's Path:G:41
Jayemdae Tome:NA:40
Lone Revenant:U:81
Aggravate:R:53
Somberwald Sage:G:71
Revenge of the Hunted:G:84
Captain of the Mists:U:79
Lunar Mystic:U:65
Stolen Goods:U:31
Devastation Tide:U:34
Gem of Becoming:NA:33
Tyrant of Discord:R:51
Devout Chaplain:W:69
Polluted Dead:B:37
Cathars' Crusade:W:86
Wild Defiance:G:42
Magmaquake:R:91
Healer of the Pride:W:70
Cleaver Riot:R:54
Downpour:U:20
Essence Scatter:U:61
Volcanic Geyser:R:78
Revive:G:42
Safe Passage:W:56
Essence Drain:B:76
Welkin Tern:U:60
Duskdale Wurm:G:48
Courtly Provocateur:U:61
Tibalt, the Fiend-Blooded:R:67
Descendants' Path:G:33
Falkenrath Exterminator:R:60
Wolfir Avenger:G:79
Triumph of Cruelty:B:15
Misthollow Griffin:U:76
Trumpet Blast:R:40
Farseek:G:58
Cremate:B:24
Crosstown Courier:U:32
Rogue's Passage:NA:36
Rest in Peace:W:15
Grisly Salvage:BG:49
Cavern of Souls:NA:25
Moonlight Geist:W:62
Demonic Rising:B:82
Archwing Dragon:R:74
Into the Void:U:78
Angelic Wall:W:40
Midvast Protector:W:41
Goblin Battle Jester:R:55
Shimian Specter:B:77
Kitesail:NA:35
Wit's End:B:22
Elvish Visionary:G:58
Encrust:U:41
Worldfire:R:4
Diabolic Revelation:B:40
Touch of the Eternal:W:34
Stormtide Leviathan:U:70
Merfolk of the Pearl Trident:U:20
Commander's Authority:W:30
Gloomwidow:G:59
Bower Passage:G:29
Reforge the Soul:R:38
Vexing Devil:R:30
Ghostly Touch:U:45
Grafdigger's Cage:NA:17
Narstad Scrapper:NA:38
Champion of Lambholt:G:78
Human Frailty:B:43
Grave Exchange:B:57
Appetite for Brains:B:38
Haunted Guardian:NA:40
Malicious Intent:R:19
Kraken Hatchling:U:49
Pillarfield Ox:W:35
Guardian Lions:W:29
Angelic Benediction:W:51
Bladetusk Boar:R:60
Hamletback Goliath:R:48
Fervor:R:40
Stuffy Doll:NA:70
Akroma's Memorial:NA:90
Tormod's Crypt:NA:15
Ravenous Rats:B:51
Wind Drake:U:60
Guardians of Akrasa:W:57
Master of the Pearl Trident:U:54
Rain of Blades:W:34
Rhox Faithmender:W:54
Faerie Invaders:U:74
Blood Reckoning:B:31
Centaur Courser:G:64
Kindled Fury:R:31
Rewind:U:40
Spelltwine:U:25
Warclamp Mastiff:W:36
Cower in Fear:B:67
Bloodthrone Vampire:B:35
Intrepid Hero:W:61
Mark of Mutiny:R:35
Serra Avenger:W:82
Quirion Dryad:G:50
Reliquary Tower:NA:10
Clock of Omens:NA:18
Battle of Wits:U:2
Furnace Whelp:R:75
Omniscience:U:2
Door to Nothingness:NA:1
Index:U:18
Ground Seal:G:10
Hellhole Flailer:BR:73
Skyline Predator:U:64
Giant Growth:G:55
Bellows Lizard:R:22
Druid's Deliverance:G:32
Assassin's Strike:B:69
Gatecreeper Vine:G:69
Lobber Crew:R:56
Rites of Reaping:BG:45
Trestle Troll:BG:49
Judge's Familiar:UW:26
Blistercoil Weird:RU:25
Terrus Wurm:B:29
Seek the Horizon:G:40
Trostani's Judgment:W:61
Dryad Militant:GW:54
Aerial Predation:G:35
Traitorous Instinct:R:33
Zanikev Locust:B:66
Frostburn Weird:RU:59
Chemister's Trick:RU:38
Rakdos Ragemutt:BR:66
Nivmagus Elemental:RU:51
Essence Backlash:RU:29
Collective Blessing:GW:90
Deathrite Shaman:BG:67
Risen Sanctuary:GW:57
Isperia, Supreme Judge:UW:87
Slaughter Games:BR:14
Slime Molding:G:64
Jarad, Golgari Lich Lord:BG:68
Golgari Longlegs:BG:56
Fall of the Gavel:UW:22
Heroes' Reunion:GW:17
Vraska the Unseen:BG:95
Firemind's Foresight:RU:14
Chromatic Lantern:NA:65
Loxodon Smiter:GW:82
Silklash Spider:G:85
Faerie Impostor:U:46
Undercity Plague:B:55
Stomping Ground:NA:54
Predator's Rapport:G:21
Gutter Skulk:B:48
Ruination Wurm:GR:57
Spire Tracer:G:25
Knight of Obligation:W:58
Skullcrack:R:23
Wight of Precinct Six:B:53
Luminate Primordial:W:84
Scatter Arc:U:29
Nightveil Specter:BU:73
Syndicate Enforcer:B:52
Hellkite Tyrant:R:88
Rust Scarab:G:63
Obzedat, Ghost Council:BW:91
Immortal Servitude:BW:50
Unexpected Results:GU:54
Zarichi Tiger:W:45
Primal Visitation:GR:33
Daring Skyjek:W:54
Zhur-Taa Swine:GR:63
Gruul Guildgate:NA:55
Deathcult Rogue:BU:64
Crackling Perimeter:R:20
Crowned Ceratok:G:74
Smog Elemental:B:70
Agoraphobia:U:60
Ordruun Veteran:RW:49
Guardian of the Gateless:W:66
One Thousand Lashes:BW:82
Prophetic Prism:NA:42
Whispering Madness:BU:45
Viashino Shanktail:R:52
Wojek Halberdiers:RW:62
High Priest of Penance:BW:71
Vizkopa Confessor:BW:36
Debtor's Pulpit:W:55
Serene Remembrance:G:10
Dimir Keyrune:NA:65
Undercity Informer:B:66
Warmind Infantry:R:40
AEtherize:U:63
Simic Fluxmage:U:62
Nimbus Swimmer:GU:72
Hold the Gates:W:35
Corpse Blockade:B:41
Deathpact Angel:BW:90
Elusive Krasis:GU:59
Fortress Cyclops:RW:60
Slaughterhorn:G:55
Sylvan Primordial:G:65
Borborygmos Enraged:GR:36
Mindeye Drake:U:60
Sepulchral Primordial:B:81
Mark for Death:R:70
Ghor-Clan Rampager:GR:85
Righteous Charge:W:59
Gyre Sage:G:64
Adaptive Snapjaw:G:46
Breeding Pool:NA:54
Drakewing Krasis:GU:61
Metropolis Sprite:U:60
Aerial Maneuver:W:47
Frenzied Tilling:GR:28
Psychic Strike:BU:45
Homing Lightning:R:80
Frilled Oculus:U:57
Bioshift:GU:33
Death's Approach:B:34
Incursion Specialist:U:49
Godless Shrine:NA:54
Burst of Strength:G:27
Ember Beast:R:45
Shadow Alley Denizen:B:36
Call of the Nightwing:BU:51
Furious Resistance:R:40
Duskmantle Seer:BU:87
Firefist Striker:R:50
Biomass Mutation:GU:87
Dimir Guildgate:NA:55
Cinder Elemental:R:75
Realmwright:U:36
Merciless Eviction:BW:78
Ivy Lane Denizen:G:53
Tin Street Market:R:32
Crocanura:G:57
Massive Raid:R:69
Basilica Screecher:B:51
Truefire Paladin:RW:72
Skygames:U:22
Paranoid Delusions:BU:27
Alpha Authority:G:31
Diluvian Primordial:U:83
Murder Investigation:W:28
Duskmantle Guildmage:BU:57
Leyline Phantom:U:43
Gridlock:U:42
Shattering Blow:RW:20
Shielded Passage:W:35
Way of the Thief:U:42
Glaring Spotlight:NA:35
Watery Grave:NA:54
Forced Adaptation:G:30
Skyknight Legionnaire:RW:65
Gift of Orzhova:BW:56
Miming Slime:G:63
Firemane Avenger:RW:92
Hellraiser Goblin:R:56
Simic Manipulator:U:84
Armored Transport:NA:50
Gideon, Champion of Justice:W:91
Skyblinder Staff:NA:38
Basilica Guards:W:52
Legion Loyalist:R:77
Riot Gear:NA:55
Skarrg Guildmage:GR:80
Soul Ransom:BU:90
Master Biomancer:GU:93
Thespian's Stage:NA:10
Illness in the Ranks:B:6
Towering Thunderfist:R:51
Molten Primordial:R:83
Simic Keyrune:NA:62
Martial Glory:RW:61
Treasury Thrull:BW:86
Gruul Charm:GR:39
Kingpin's Pet:BW:74
Ripscale Predator:R:58
Clinging Anemones:U:44
Cartel Aristocrat:BW:48
Signal the Clans:GR:52
Slate Street Ruffian:B:42
Domri Rade:GR:86
Holy Mantle:W:60
Boros Elite:W:55
Bomber Corps:R:41
Vizkopa Guildmage:BW:69
Spell Rupture:U:37
Mental Vapors:B:38
Orzhov Guildgate:NA:55
Ooze Flux:G:65
Structural Collapse:R:18
Madcap Skills:R:33
Nav Squad Commandos:W:44
Devour Flesh:B:62
Keymaster Rogue:U:61
Arrows of Justice:RW:65
Dying Wish:B:26
Simic Guildgate:NA:55
Aurelia's Fury:RW:95
Boros Reckoner:RW:82
Five-Alarm Fire:R:70
Syndic of Tithes:W:65
Rapid Hybridization:U:59
Court Street Denizen:W:50
Boros Guildgate:NA:55
Consuming Aberration:BU:87
Guildscorn Ward:W:27
Purge the Profane:BW:40
Giant Adephage:G:72
Angelic Skirmisher:W:92
Grisly Spectacle:B:81
Horror of the Dim:B:34
Gruul Ragebeast:GR:84
Fathom Mage:GU:75
Angelic Edict:W:71
Mystic Genesis:GU:48
Alms Beast:BW:88
Cloudfin Raptor:U:67
Tower Defense:G:36
Razortip Whip:NA:35
Sage's Row Denizen:U:44
Last Thoughts:U:39
Coerced Confession:BU:38
Scorchwalker:R:46
Scab-Clan Charger:G:51
Enter the Infinite:U:1
Lord of the Void:B:85
Boros Keyrune:NA:60
Biovisionary:GU:37
Urbis Protector:W:66
Prime Speaker Zegana:GU:86
Wasteland Viper:G:59
Mind Grind:BU:80
Urban Evolution:GU:77
Contaminated Ground:B:21
Sapphire Drake:U:78
Spark Trooper:RW:68
Hydroform:GU:34
Rubblehulk:GR:64
Wildwood Rebirth:G:30
Illusionist's Bracers:NA:35
Stolen Identity:U:79
Ground Assault:GR:67
Sunhome Guildmage:RW:81
Mugging:R:68
Foundry Champion:RW:85
Ogre Slumlord:B:80
Totally Lost:U:57
Skinbrand Goblin:R:45
Boros Charm:RW:67
Orzhov Charm:BW:77
Thrull Parasite:B:63
Gateway Shade:B:48
Sacred Foundry:NA:54
Greenside Watcher:G:39
Experiment One:G:66
Merfolk of the Depths:GU:41
Gruul Keyrune:NA:68
Executioner's Swing:BW:67
Hands of Binding:U:42
Wrecking Ogre:R:83
Disciple of the Old Ways:G:54
Aurelia, the Warleader:RW:89
Mortus Strider:BU:34
Pit Fight:GR:73
Millennial Gargoyle:NA:46
Crypt Ghast:B:61
Dinrova Horror:BU:79
Zameck Guildmage:GU:78
Shadow Slice:B:43
Smite:W:51
Dutiful Thrull:W:47
Skarrg Goliath:G:71
Hindervines:G:38
Frontline Medic:W:76
Beckon Apparition:BW:38
Rubblebelt Raiders:GR:82
Simic Charm:GU:66
Balustrade Spy:B:55
Blind Obedience:W:62
Killing Glare:B:78
Burning-Tree Emissary:GR:50
Clan Defiance:GR:90
Lazav, Dimir Mastermind:BU:82
Assemble the Legion:RW:83
Verdant Haven:G:39
Foundry Street Denizen:R:34
Dimir Charm:BU:56
Voidwalk:U:39
Bane Alley Broker:BU:76
Midnight Recovery:B:37
Knight Watch:W:40
Shambleshark:GU:62
Orzhov Keyrune:NA:61
Emmara Tandris:GW:41
Showstopper:BR:43
Pyrewild Shaman:R:69
Jelenn Sphinx:UW:79
Izzet Cluestone:NA:36
Sunspire Gatekeepers:W:52
Wear // Tear:RW:25
Voice of Resurgence:GW:84
Savageborn Hydra:GR:92
Bred for the Hunt:GU:37
Blood Baron of Vizkopa:BW:90
Fluxcharger:RU:60
Gruul War Chant:GR:49
Mending Touch:G:30
Reap Intellect:BU:7
AEtherling:U:88
Fatal Fumes:B:59
Simic Cluestone:NA:36
Goblin Test Pilot:RU:18
Lyev Decree:W:35
Runner's Bane:U:68
Ready // Willing:NOUSE:88
